stock,endDate,totalRevenue,costOfRevenue,grossProfit,operatingIncome,totalOperatingExpenses,netIncome,totalAssets,totalCurrentAssets,totalLiab,totalCurrentLiabilities,cash,retainedEarnings,capitalExpenditures,totalCashFromOperatingActivities,totalCashFromFinancingActivities,totalCashflowsFromInvestingActivities,FCF Status
AAPL,2021-09-25,365817000000,212981000000,152836000000,108949000000,256868000000,94680000000,351002000000,134836000000,287912000000,125481000000,34940000000,5562000000,-11085000000,104038000000,-93353000000,-14545000000,Positive
AAPL,2022-09-24,394328000000,223546000000,170782000000,119437000000,274891000000,99803000000,352755000000,135405000000,302083000000,153982000000,23646000000,-3068000000,-10708000000,122151000000,-110749000000,-22354000000,Positive
AAPL,2023-09-30,383285000000,214137000000,169148000000,114301000000,268984000000,96995000000,352583000000,143566000000,290437000000,145308000000,29965000000,-214000000,-10959000000,110543000000,-108488000000,3705000000,Positive
MSFT,2021-06-30,168088000000,52232000000,115856000000,69916000000,98172000000,61271000000,333779000000,184406000000,191791000000,88657000000,14224000000,57055000000,-20622000000,76740000000,-45255000000,-27577000000,Positive
MSFT,2022-06-30,198270000000,62650000000,135620000000,83383000000,114887000000,72738000000,364840000000,169684000000,198298000000,95082000000,13931000000,84281000000,-23886000000,89035000000,-58876000000,-30311000000,Positive
MSFT,2023-06-30,211915000000,65863000000,146052000000,88523000000,123392000000,72361000000,411976000000,184257000000,205753000000,104149000000,34704000000,118848000000,-28107000000,87582000000,-43929000000,-22680000000,Positive
GOOGL,2021-12-31,257637000000,110939000000,146698000000,78714000000,178923000000,76033000000,359268000000,169484000000,107633000000,64231000000,20945000000,183501000000,-24640000000,91652000000,-61362000000,-35880000000,Positive
GOOGL,2022-12-31,282836000000,126203000000,156633000000,74842000000,207994000000,59972000000,365264000000,164985000000,109120000000,64231000000,21879000000,195563000000,-31485000000,91495000000,-69185000000,-20298000000,Positive
GOOGL,2023-12-31,307394000000,133332000000,174062000000,84293000000,223101000000,73795000000,402392000000,175586000000,119013000000,68189000000,24048000000,209122000000,-32251000000,101746000000,-70664000000,-31462000000,Positive
AMZN,2021-12-31,469822000000,272344000000,197478000000,24879000000,444942000000,-2722000000,420549000000,161580000000,282304000000,142266000000,17700000000,-1961000000,-55396000000,46327000000,7956000000,-58154000000,Negative
AMZN,2022-12-31,513983000000,288831000000,225152000000,12248000000,501735000000,-2722000000,462675000000,146791000000,316632000000,155393000000,53888000000,-19154000000,-63645000000,46752000000,9718000000,-37862000000,Negative
AMZN,2023-12-31,574785000000,304739000000,270046000000,36852000000,537933000000,30425000000,527854000000,172351000000,325979000000,164917000000,73387000000,7645000000,-52729000000,84946000000,-9760000000,-56063000000,Positive
TSLA,2021-12-31,53823000000,40217000000,13606000000,6523000000,47300000000,5519000000,62131000000,27100000000,30548000000,19705000000,17576000000,331000000,-6482000000,11497000000,-4491000000,-7868000000,Positive
TSLA,2022-12-31,81462000000,60609000000,20853000000,13656000000,67806000000,12556000000,82338000000,40917000000,36440000000,26709000000,16253000000,12885000000,-7174000000,14724000000,-3527000000,-11738000000,Positive
TSLA,2023-12-31,96773000000,79113000000,17660000000,8891000000,87882000000,14974000000,106618000000,49616000000,43009000000,28748000000,16398000000,27882000000,-8898000000,13256000000,-2004000000,-9973000000,Positive
